mpn,package,pin_count,pitch_mm,body_mm,pad_mm,ep_mm,courtyard_mm,orientation,pin1,mechanical_source,footprint_source,model_3d_source,verification_method,boards,status
IQS7222A,QFN-20_3x3,20,0.4,3x3,0.2x0.55,1.7x1.7,3.6x3.6,pin1_NW_dot,1,Azoteq IQS7222A datasheet,gunnchos_production:QFN-20-1EP_3x3mm_P0.4mm,Azoteq / KiCad,Azoteq_land_pattern,edge_io_rings,PRODUCTION
BMI270,LGA-14_3x2.5,14,0.5,3.0x2.5,0.3x0.8,n/a,3.6x3.1,pin1_mark_sensor_axes,1,Bosch BMI270 datasheet LGA-14,gunnchos_production:Bosch_LGA-14_3x2.5mm_P0.5mm,Bosch / KiCad Package_LGA,Bosch_land_pattern+orientation_mark,edge_io_rings,PRODUCTION
SE050C1HQ1,HXQFN-20,20,0.5,4x4,0.25x0.7,2.5x2.5,4.6x4.6,pin1_NW,1,NXP SE050 datasheet HXQFN20,gunnchos_production:HXQFN-20-1EP_4x4mm_P0.5mm,NXP 3D,NXP_land_pattern,edge_io_rings,PRODUCTION
RTL8156,QFN-48_6x6,48,0.4,6x6,0.2x0.65,4.3x4.3,6.8x6.8,pin1_NW,1,Realtek RTL8156B datasheet,gunnchos_production:QFN-48-1EP_6x6mm_P0.4mm,Realtek / KiCad,vendor_land_pattern,dock,PRODUCTION
VL817,QFN-48_7x7,48,0.5,7x7,0.25x0.75,5.1x5.1,7.8x7.8,pin1_NW,1,VIA VL817 datasheet,gunnchos_production:QFN-48-1EP_7x7mm_P0.5mm,VIA / KiCad,vendor_land_pattern,dock,PRODUCTION
SLB9672XQ2.0,VQFN-32_5x5,32,0.5,5x5,0.25x0.7,3.1x3.1,5.8x5.8,pin1_NW,1,Infineon SLB9672 datasheet,gunnchos_production:VQFN-32-1EP_5x5mm_P0.5mm,Infineon / KiCad,Infineon_land_pattern,student_14_5;ds_xl_coder,PRODUCTION
PESD5V0S1UL,SOD-882D_DFN1006-2,2,0.65,1.0x0.6,0.5x0.5,n/a,1.6x1.2,cathode_mark,1_cathode,Nexperia PESD5V0S1UL datasheet,gunnchos_production:DFN1006-2,Nexperia / KiCad Package_SON,Nexperia_land_pattern,all,PRODUCTION
CL05A104KA5NNNC,0402_C,2,1.0,1.0x0.5,0.5x0.6,n/a,1.6x1.0,n/a,1,Samsung 0402 / IPC-7351,gunnchos_production:C_0402,KiCad Capacitor_SMD,IPC-7351,all,PRODUCTION
RC0402FR-0710KL,0402_R,2,1.0,1.0x0.5,0.5x0.6,n/a,1.6x1.0,n/a,1,Yageo 0402 / IPC-7351,gunnchos_production:R_0402,KiCad Resistor_SMD,IPC-7351,all,PRODUCTION
APTD1608LCGCK,0603_LED,2,1.6,1.6x0.8,0.7x0.8,n/a,2.2x1.4,cathode_mark,1_K,Kingbright APTD1608 datasheet,gunnchos_production:LED_0603,KiCad LED_SMD,vendor_land_pattern,all,PRODUCTION
2450AT18A100,ChipAntenna_Johanson,3,1.0,3.2x1.6,vendor,n/a,keepout_per_AN,feed_pad_marked,feed,Johanson 2450AT18A100 datasheet + AN,gunnchos_production:Antenna_Johanson_2450AT18A100,Johanson,vendor_land_pattern+keepout,edge_io_rings,PRODUCTION
COM-HPC-mMTL-155H-32G,COM-HPC_Mini_95x70_envelope,400,EXTERNAL_NDA,95x70,EXTERNAL_NDA,EXTERNAL_NDA,96x71,PICMG_keying,EXTERNAL_NDA,PICMG COM-HPC Mini / ADLINK mech outline PUBLIC,gunnchos_production:COMHPC_Mini_envelope,ADLINK STEP under NDA portal,PUBLIC_envelope_only,student_14_5;ds_xl_coder,EXTERNAL_VENDOR_COLLATERAL_REQUIRED
JHL8440,BGA_EXTERNAL_NDA,EXTERNAL_NDA,EXTERNAL_NDA,role_placeholder_envelope,EXTERNAL_NDA,EXTERNAL_NDA,role_envelope,EXTERNAL_NDA,EXTERNAL_NDA,Intel ARK role public; ball map NDA,gunnchos_production:JHL8440_ROLE_envelope,Intel NDA portal,ROLE_PUBLIC_PACKAGE_NDA,dock,EXTERNAL_VENDOR_COLLATERAL_REQUIRED
JHL9040R,BGA_EXTERNAL_NDA,EXTERNAL_NDA,EXTERNAL_NDA,role_placeholder_envelope,EXTERNAL_NDA,EXTERNAL_NDA,role_envelope,EXTERNAL_NDA,EXTERNAL_NDA,Intel ARK role public; ball map NDA,gunnchos_production:JHL9040R_ROLE_envelope,Intel NDA portal,ROLE_PUBLIC_PACKAGE_NDA,dock,EXTERNAL_VENDOR_COLLATERAL_REQUIRED
PANEL_AVL_PENDING,eDP_FFC_connector_AVL,40,0.5,FFC_40P,0.3x1.2,n/a,vendor,contacts_up,1,Hirose FH12/FH34 class — AVL pending panel MPN,gunnchos_production:FFC_40P_0.5mm,Hirose STEP AVL,connector_class_IPC_until_panel_MPN,student_14_5;ds_xl_coder,PRODUCTION_CLASS_AVL_PANEL_EXTERNAL
