pin,signal,soc,group,funcs,evidence,source
16,MIPI_CSI0_RX_D3N,AP41,CAMERA,MIPI_CSI0_D3N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
17,MIPI_CSI0_RX_D1P,AK41,CAMERA,MIPI_CSI0_D1P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
18,MIPI_CSI0_RX_D3P,AP42,CAMERA,MIPI_CSI0_D3P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
19,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
20,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
21,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
22,MIPI_DPHY0_RX_D0N,BB38,OTHER,MIPI_DPHY0_RX_D0N|MIPI_CPHY0_RX_TRIO0_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
23,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
24,MIPI_DPHY0_RX_D0P,BA38,OTHER,MIPI_DPHY0_RX_D0P|MIPI_CPHY0_RX_TRIO0_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
25,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
26,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
27,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
28,MIPI_DPHY0_RX_CLKN,BA41,CLOCK,MIPI_DPHY0_RX_CLKN|MIPI_CPHY0_RX_TRIO1_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
29,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
30,MIPI_DPHY0_RX_CLKP,BB41,CLOCK,MIPI_DPHY0_RX_CLKP|MIPI_CPHY0_RX_TRIO1_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
31,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
32,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
33,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
34,MIPI_DPHY0_RX_D1N,AY40,OTHER,MIPI_DPHY0_RX_D1N|MIPI_CPHY0_RX_TRIO0_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
35,NC,,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
36,MIPI_DPHY0_RX_D1P,BA40,OTHER,MIPI_DPHY0_RX_D1P|MIPI_CPHY0_RX_TRIO1_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
37,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
38,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
39,TYPEC0_SSTX1N,BA11,USB,TYPEC0_SSTX1N|DP0_TX1N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
40,MIPI_DPHY1_RX_D2N,BA28,OTHER,MIPI_DPHY1_RX_D2N|MIPI_CPHY1_RX_TRIO2_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
41,TYPEC0_SSTX1P,BB11,USB,TYPEC0_SSTX1P|DP0_TX1P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
42,MIPI_DPHY1_RX_D2P,BB28,OTHER,MIPI_DPHY1_RX_D2P|MIPI_CPHY1_RX_TRIO2_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
43,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
44,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
45,TYPEC0_SSRX1N,BA10,USB,TYPEC0_SSRX1N|DP0_TX0N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
46,MIPI_DPHY1_RX_D0N,BB23,OTHER,MIPI_DPHY1_RX_D0N|MIPI_CPHY1_RX_TRIO0_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
47,TYPEC0_SSRX1P,,USB,TYPEC0_SSRX1P|DP0_TX0P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
48,MIPI_DPHY1_RX_D0P,BA23,OTHER,MIPI_DPHY1_RX_D0P|MIPI_CPHY1_RX_TRIO0_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
49,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
50,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
51,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
52,MIPI_CPHY1_RX_TRIO1_B,BB26,OTHER,MIPI_DPHY1_RX_CLKN|MIPI_CPHY1_RX_TRIO1_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
53,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
54,MIPI_DPHY1_RX_CLKP,BA26,CLOCK,MIPI_DPHY1_RX_CLKP|MIPI_CPHY1_RX_TRIO1_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
55,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
56,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
57,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
58,MIPI_DPHY1_RX_D1N,BA25,OTHER,MIPI_DPHY1_RX_D1N|MIPI_CPHY1_RX_TRIO0_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
59,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
60,MIPI_DPHY1_RX_D1P,BB25,OTHER,MIPI_DPHY1_RX_D1P|MIPI_CPHY1_RX_TRIO1_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
61,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
62,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
63,HDMI0_TX2N,BA7,DISPLAY_HDMI_EDP,HDMI_TX0_D2N|EDP_TX0_D2N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
64,MIPI_DPHY1_RX_D3N,BB29,OTHER,MIPI_DPHY1_RX_D3N|MIPI_CPHY1_RX_TRIO2_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
65,HDMI0_TX2P,BB7,DISPLAY_HDMI_EDP,HDMI_TX0_D2P|EDP_TX0_D2P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
66,MIPI_DPHY1_RX_D3P,BA29,OTHER,MIPI_DPHY1_RX_D3P|NO_USE,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
67,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
68,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
69,HDMI0_TX1N,BB5,DISPLAY_HDMI_EDP,HDMI_TX0_D1N|EDP_TX0_D1N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
70,MIPI_DPHY0_TX_D0N,BA31,DISPLAY_MIPI_DSI,MIPI_DPHY0_TX_D0N|MIPI_CPHY0_TX_TRIO0_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
71,HDMI0_TX1P,BA5,DISPLAY_HDMI_EDP,HDMI_TX0_D1P|EDP_TX0_D1P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
72,MIPI_DPHY0_TX_D0P,BB31,DISPLAY_MIPI_DSI,MIPI_DPHY0_TX_D0P|MIPI_CPHY0_TX_TRIO0_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
73,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
74,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
75,HDMI0_TX0N,BA4,DISPLAY_HDMI_EDP,HDMI_TX0_D0N|EDP_TX0_D0N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
76,MIPI_DPHY0_TX_CLKN,BA34,DISPLAY_MIPI_DSI,MIPI_DPHY0_TX_CLKN|MIPI_CPHY0_TX_TRIO1_B,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
77,HDMI0_TX0P,BB4,DISPLAY_HDMI_EDP,HDMI_TX0_D0P|EDP_TX0_D0P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
78,MIPI_DPHY0_TX_CLKP,BB34,DISPLAY_MIPI_DSI,MIPI_DPHY0_TX_CLKP|MIPI_CPHY0_TX_TRIO1_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
79,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
80,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
81,HDMI0_TX3N,BB2,DISPLAY_HDMI_EDP,HDMI_TX0_D3N|EDP_TX0_D3N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
82,MIPI_DPHY0_TX_D1N,BB32,DISPLAY_MIPI_DSI,MIPI_DPHY0_TX_D1N|MIPI_CPHY0_TX_TRIO0_C,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
83,HDMI0_TX3P,BA2,DISPLAY_HDMI_EDP,HDMI_TX0_D3P|EDP_TX0_D3P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
84,MIPI_DPHY0_TX_D1P,BA32,DISPLAY_MIPI_DSI,MIPI_DPHY0_TX_D1P|MIPI_CPHY0_TX_TRIO1_A,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
85,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
86,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
87,VBUSDET,AV10,OTHER,TYPEC0_USB20_VBUSDET,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
88,SDMMC_PWREN,AV27,STORAGE_SDMMC,CIF_CLKOUT|BT1120_D10|I2S1_SDO3_M0|DP0_HPDIN_M0|SPDIF0_TX_M1|UART9_TX_M1|PWM11_IR_M1|GPIO4_B4_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
89,MIPI_CAM1_RST_L,M38,CAMERA,PDM1_SDI3_M1|UART4_RX_M2|SPI0_MOSI_M2|GPIO1_B2_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
90,TYPEC0_SBU2,BB8,USB,TYPEC0_SBU2|DP0_AUXN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
91,MIPI_CAM2_RST_L,M37,CAMERA,PDM1_CLK1_M1|SATA0_ACT_LED_M1|UART4_TX_M2|SPI0_CLK_M2|GPIO1_B3_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
92,TYPEC0_SBU1,BA8,USB,TYPEC0_SBU1|DP0_AUXP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
93,MIPI_CAM2_PWREN_H,G39,CAMERA,PDM1_SDI2_M1|SPI0_MISO_M2|GPIO1_B1_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
94,HDMI_TX0_CEC_M0,AY26,DISPLAY_HDMI_EDP,BT1120_D15|SPDIF1_TX_M2|PCIE20X1_2_PERSTN_M1|HDMI_TX0_CEC_M0|I2C8_SDA_M3|PWM6_M1|SPI3_CS1_M1|GPIO4_C1_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
95,TP_RST_L,M39,OTHER,PDM1_CLK0_M1|UART7_RX_M2|SPI0_CS0_M2|GPIO1_B4_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
96,HDMI_TX0_HPD_M0,M40,DISPLAY_HDMI_EDP,HDMI_TX0_HPD_M0|SPI2_MOSI_M0|GPIO1_A5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
97,TP_INT_L,D40,OTHER,UART7_TX_M2|SPI0_CS1_M2|GPIO1_B5_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
98,HDMI-SDA,AW23,OTHER,BT1120_D14|PCIE20X1_2_WAKEN_M1|HDMI_TX0_SDA_M0|I2C8_SCL_M3|SPI3_CS0_M1|GPIO4_C0_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
99,I2C5_SCL_M3_CAM,L38,I2C,MIPI_CAMERA1_CLK_M0|SPDIF0_TX_M0|I2C5_SCL_M3|UART1_TX_M1|GPIO1_B6_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
100,HDMI-SCL,AV22,OTHER,BT1120_D13|PCIE20X1_2_CLKREQN_M1|HDMI_TX0_SCL_M0|I2C5_SDA_M1|SPI3_CLK_M1|GPIO4_B7_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
101,I2C5_SDA_M3_CAM,F37,I2C,MIPI_CAMERA2_CLK_M0|SPDIF1_TX_M0|SATA2_ACT_LED_M1|I2C5_SDA_M3|UART1_RX_M1|PWM13_M2|GPIO1_B7_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
102,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
103,I2C8_SCL_M2_CAM,L37,I2C,MIPI_CAMERA3_CLK_M0|I2C8_SCL_M2|UART1_RTSN_M1|PWM14_M2|GPIO1_D6_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
104,I2C7_SDA_M0_CODEC,U38,I2C,I2S0_SDO2|I2S0_SDI3|PDM0_SDI1_M0|I2C7_SDA_M0|UART6_RX_M2|SPI1_MOSI_M2|GPIO1_D1_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
105,I2C8_SDA_M2_CAM,G38,I2C,MIPI_CAMERA4_CLK_M0|I2C8_SDA_M2|UART1_CTSN_M1|PWM15_IR_M3|GPIO1_D7_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
106,PDM0_SDI2_M0,P40,AUDIO,I2S0_SDO3|I2S0_SDI2|PDM0_SDI2_M0|I2C1_SCL_M4|UART4_TX_M0|PWM0_M1|SPI1_CLK_M2|GPIO1_D2_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
107,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
108,I2C7_SCL_M0_CODEC,U37,I2C,I2S0_SDO1|I2C7_SCL_M0|UART6_TX_M2|SPI1_MISO_M2|GPIO1_D0_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
109,USB20_HOST0_DM,AV6,USB,USB20_HOST0_DM,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
110,GSENSOR_INT_L,R39,OTHER,I2S0_SDI1|PDM0_SDI3_M0|I2C1_SDA_M4|UART4_RX_M0|PWM1_M1|SPI1_CS0_M2|GPIO1_D3_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
111,USB20_HOST0_DP,AW6,USB,USB20_HOST0_DP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
112,PDM0_SDI0,P38,AUDIO,PDM0_SDI0_M0|SPI1_CS1_M2|GPIO1_D5_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
113,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
114,MIPI_CAM1_PDN_L,D39,CAMERA,SPI2_CLK_M0|GPIO1_A6_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
115,TYPEC0_OTG_DM,AY10,USB,TYPEC0_USB20_OTG_DM,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
116,I2C6_SCL_M3,AU22,I2C,MIPI_CAMERA0_CLK_M0|SPDIF1_TX_M1|I2S1_SDO0_M0|SATA2_ACT_LED_M0|I2C6_SCL_M3|UART8_RX_M0|SPI0_CS1_M1|GPIO4_B1_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
117,TYPEC0_OTG_DP,AY11,USB,TYPEC0_USB20_OTG_DP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
118,HDMI0_TX_ON_H,AW22,DISPLAY_HDMI_EDP,BT1120_D12|SATA0_ACT_LED_M0|I2C5_SCL_M1|PWM13_M1|SPI3_MOSI_M1|GPIO4_B6_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
119,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
120,MIPI_CAM2_PDN_L,H38,CAMERA,PDM1_SDI0_M1|PCIE20X1_1_PERSTN_M2|PWM3_IR_M3|SPI2_CS0_M0|GPIO1_A7_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
121,USB20_HOST1_DM,AW7,USB,USB20_HOST1_DM,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
122,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
123,USB20_HOST1_DP,AV7,USB,USB20_HOST1_DP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
124,MIPI_CAM1_PWREN_H,G37,CAMERA,SPI2_MISO_M0|GPIO1_A4_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
125,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
126,LCD_RESET_L,H39,DISPLAY_CTRL,PDM1_SDI1_M1|SPI2_CS1_M0|GPIO1_B0_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
127,PHONE_CTL,AW19,OTHER,CIF_D4|BT1120_D4|I2S1_LRCK_RX_M0|I2C3_SCL_M2|UART0_RX_M2|SPI2_MISO_M1|GPIO4_A4_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
128,BQ_OTG_EN_H,AV18,OTHER,CIF_D6|BT1120_D6|I2S1_SDI1_M0|I2C5_SCL_M2|UART3_RX_M2|SPI2_CLK_M1|GPIO4_A6_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
129,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
130,RK803_EN1_FLOOD,AW26,OTHER,CIF_D7|BT1120_D7|I2S1_SDI2_M0|I2C5_SDA_M2|SPI2_CS0_M1|GPIO4_A7_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
131,PCIE20_0_RXN,J41,PCIE,PCIE20_0_RXN|SATA30_0_RXN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
132,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
133,PCIE20_0_RXP,J42,PCIE,PCIE20_0_RXP|SATA30_0_RXP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
134,PCIE20_0_TXN,H42,PCIE,PCIE20_0_TXN|SATA30_0_TXN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
135,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
136,PCIE20_0_TXP,H41,PCIE,PCIE20_0_TXP|SATA30_0_TXP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
137,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
138,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
139,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
140,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
141,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
142,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
143,BT_REG_ON_H,AL39,WIFI_BT_CTRL,I2S1_SDO2_M1|PDM0_SDI2_M1|PWM3_IR_M0|I2C1_SCL_M2|CAN2_RX_M1|HDMI_TX0_SDA_M1|SPI3_CS0_M2|SATA_CPDET,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
144,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
145,CHRG_OK_H,AM39,OTHER,I2S1_SDO3_M1|CPU_BIG1_AVS|I2C1_SDA_M2|CAN2_TX_M1|HDMI_TX0_SCL_M1|SPI3_CS1_M2|SATA_MP_SWITCH|GPIO0_D5_u,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
146,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
147,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
148,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
149,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
150,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
151,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
152,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
153,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
154,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
155,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
156,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
157,NC,-,NC,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
158,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
159,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
160,PCIE20_0_REFCLKN,K41,PCIE,PCIE20_0_REFCLKN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
161,TYPEC0_SSRX2N,BA13,USB,TYPEC0_SSRX2N|DP0_TX2N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
162,PCIE20_0_REFCLKP,L42,PCIE,PCIE20_0_REFCLKP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
163,TYPEC0_SSRX2P,BB13,USB,TYPEC0_SSRX2P|DP0_TX2P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
164,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
165,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
166,TYPEC0_SSTX2N,BA14,USB,TYPEC0_SSTX2N|DP0_TX3N,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
167,USB30_2_SSRXN,C42,USB,PCIE20_2_RXN|SATA30_2_RXN|USB30_SSRXN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
168,TYPEC0_SSTX2P,BB14,USB,TYPEC0_SSTX2P|DP0_TX3P,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
169,USB30_2_SSRXP,D42,USB,PCIE20_2_RXP|SATA30_2_RXP|USB30_SSRXP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
170,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
171,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
172,USB30_2_SSTXN,D41,USB,PCIE20_2_TXN|SATA30_2_TXN|USB30_SSTXN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
173,PCIE20_2_REFCLKN,F42,PCIE,PCIE20_2_REFCLKN,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
174,USB30_2_SSTXP,E41,USB,PCIE20_2_TXP|SATA30_2_TXP|USB30_SSTXP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
175,PCIE20_2_REFCLKP,F41,PCIE,PCIE20_2_REFCLKP,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
176,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
177,GND,-,GND,,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
178,I2C6_SDA_M3,AW27,I2C,CIF_CLKIN|BT1120_CLKOUT|I2S1_SDI3_M0|I2C6_SDA_M3|UART8_TX_M0|SPI2_CS1_M1|GPIO4_B0_d,PUBLIC_PINOUT,radxa_nx5_260_pinout_v1100.xlsx
