ball,primary_signal,alternate_functions,power_ground_domain_class,voltage_domain,cpb0_usage,destination_net,source_document,source_page_table,confidence,unresolved,unresolved_reason
AA15,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA17,VDD_DDR_0P8,,POWER,POWER,POWER,VDD_DDR_0P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA19,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA21,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA23,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA25,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA27,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA29,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA31,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA33,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA35,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA37,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA39,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA41,VDD_ANAVDET_1P8,,POWER,POWER,POWER,VDD_ANAVDET_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA43,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA45,AUD_AUX,SEE_IMX95_PINMUX_SHEET,IO,VDD_EARC_1P8,GPIO_PERIPH_CANDIDATE,AUD_AUX,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AA47,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AA49,SD2_DATA3,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_DATA3,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AA51,SD2_DATA2,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_DATA2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AB2,DRAM_CA3_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_CA3_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB4,DRAM_LP4CKE_LP5CS1_A,,DDR,VDD2H_DDR,LPDDR5,DRAM_LP4CKE_LP5CS1_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB6,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB8,DRAM_WCK0_T_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_WCK0_T_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB10,DRAM_CA2_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_CA2_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB12,VDDQ_DDR,,POWER,POWER,POWER,VDDQ_DDR,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB14,DEPOP,,DEPOP,TBD_IOMUX,NO_BALL,NC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,N/A,false,
AB16,DEPOP,,DEPOP,TBD_IOMUX,NO_BALL,NC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,N/A,false,
AB18,DEPOP,,DEPOP,TBD_IOMUX,NO_BALL,NC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,N/A,false,
AB20,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB22,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB24,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB26,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB28,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB30,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB32,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB34,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB36,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB38,VDD_SOC,,POWER,POWER,POWER,VDD_SOC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB40,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB42,VDD_EARC_1P8,,POWER,POWER,POWER,VDD_EARC_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB44,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB46,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB48,SD2_CLK,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_CLK,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AB50,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AB52,SD2_CMD,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_CMD,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AC1,DRAM_DQ06_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ06_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC3,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC5,DRAM_DQ07_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ07_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC7,DRAM_WCK0_C_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_WCK0_C_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC9,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC11,DRAM_CA7_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_CA7_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC13,DEPOP,,DEPOP,TBD_IOMUX,NO_BALL,NC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,N/A,false,
AC15,DEPOP,,DEPOP,TBD_IOMUX,NO_BALL,NC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,N/A,false,
AC17,DEPOP,,DEPOP,TBD_IOMUX,NO_BALL,NC,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,N/A,false,
AC19,VDD_ANA_1P8,,POWER,POWER,POWER,VDD_ANA_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC21,VDD_ANA_1P8,,POWER,POWER,POWER,VDD_ANA_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC23,NVCC_CCM_DAP,,POWER,POWER,POWER,NVCC_CCM_DAP,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC25,NVCC_ENET,,POWER,POWER,POWER,NVCC_ENET,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC27,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC29,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC31,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC33,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC35,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC37,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC39,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC41,VDD_EARC_1P8,,POWER,POWER,POWER,VDD_EARC_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC43,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC45,SD1_DATA7,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA7,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AC47,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AC49,SD2_DATA1,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_DATA1,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AC51,SD2_DATA0,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_DATA0,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AD2,DRAM_DQ04_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ04_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD4,DRAM_DQ05_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ05_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD6,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD8,DRAM_DQS0_C_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQS0_C_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD10,DRAM_DQS0_T_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQS0_T_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD12,VDDQ_DDR,,POWER,POWER,POWER,VDDQ_DDR,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD14,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD16,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD18,VDD_ETH_0P8,,POWER,POWER,POWER,VDD_ETH_0P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD20,VDD_ETH_1P8,,POWER,POWER,POWER,VDD_ETH_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD22,VDD_ETH_1P8,,POWER,POWER,POWER,VDD_ETH_1P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD24,NVCC_CCM_DAP,,POWER,POWER,POWER,NVCC_CCM_DAP,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD26,NVCC_ENET,,POWER,POWER,POWER,NVCC_ENET,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD28,VDD_ANA_0P8,,POWER,POWER,POWER,VDD_ANA_0P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD30,VDD_ANA_0P8,,POWER,POWER,POWER,VDD_ANA_0P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD32,NVCC_WAKEUP,,POWER,POWER,POWER,NVCC_WAKEUP,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD34,NVCC_WAKEUP,,POWER,POWER,POWER,NVCC_WAKEUP,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD36,NVCC_SD2,,POWER,POWER,POWER,NVCC_SD2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD38,NVCC_SD2,,POWER,POWER,POWER,NVCC_SD2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD40,VSS_SOC_SENSE,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD42,VDD_SOC_SENSE,,POWER,POWER,POWER,VDD_SOC_SENSE,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD44,SD1_DATA6,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA6,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AD46,SD1_DATA2,SEE_IMX95_PINMUX_SHEET,IO,NVCC_WAKEUP,GPIO_PERIPH_CANDIDATE,SD1_DATA2,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AD48,SD2_CD_B,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_CD_B,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AD50,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AD52,SD2_RESET_B,SEE_IMX95_PINMUX_SHEET,IO,NVCC_SD2,GPIO_PERIPH_CANDIDATE,SD2_RESET_B,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,MEDIUM,false,
AE1,DRAM_DQ01_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ01_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE3,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE5,DRAM_DQ03_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ03_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE7,DRAM_DQ14_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ14_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE9,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE11,DRAM_DQ13_A,,DDR,VDDQ_DDR,LPDDR5,DRAM_DQ13_A,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE13,VDDQ_DDR,,POWER,POWER,POWER,VDDQ_DDR,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE15,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE17,VDD_ETH_0P8,,POWER,POWER,POWER,VDD_ETH_0P8,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE19,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE21,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE23,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE25,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE27,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE29,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE31,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE33,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE35,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE37,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE39,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE41,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
AE43,VSS,,GROUND,GND,POWER,GND,IMX95IEC,attached:i.mx95_19mm_ballmap.xlsx!i.mx95_19mm_SPN_r1.0,HIGH,false,
